Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Foundation,Exploring,,VC2AMUFE01,Explore how and why music is important for people and communities,,"Sharing observations of music performances they have participated in or heard in the community, for example by asking questions such as ‘Where is this music from?’ and ‘Why was it made?’"
Foundation,Exploring,,VC2AMUFE01,Explore how and why music is important for people and communities,,"Exploring how facial expressions, gestures and other ways of moving, and voice and language can communicate emotions and feelings in artworks, for example characters in songs, chants or dances from different times and cultures"
Foundation,Exploring,,VC2AMUFE01,Explore how and why music is important for people and communities,,"Identifying music works and experiences in their lives, such as songs they sing, dances or drama they watch or perform, animations, computer games or music videos they encounter at school or in community settings, and sharing ideas and feelings about the works with peers and teachers"
Foundation,Exploring,,VC2AMUFE01,Explore how and why music is important for people and communities,,"Singing songs that are used for celebrations, such as school songs, anthems, sports teams’ songs, birthday songs and songs that help teach content or concepts from other learning areas, such as health messages"
Foundation,Exploring,,VC2AMUFE01,Explore how and why music is important for people and communities,,"Describing how they have used different qualities of sound to represent ideas in a soundscape, for example instrumentation, high/low, long/short or loud/soft"
Foundation,Exploring,,VC2AMUFE02,Explore ideas for music through play,,Playing games involving rhyme to explore beat and rhythm
Foundation,Exploring,,VC2AMUFE02,Explore ideas for music through play,,Improvising movement to represent rhythmic patterns in songs and games
Foundation,Developing Practices,,VC2AMUFD01,"Use play, imagination, music knowledge and processes to discover possibilities and develop ideas",,"Using questions such as ‘What did this music make you think about and why?’ as a starting point for making decisions about how music will be performed, drawing on teacher guidance provided in response to their music-making"
Foundation,Developing Practices,,VC2AMUFD01,"Use play, imagination, music knowledge and processes to discover possibilities and develop ideas",,"Practising techniques for singing songs and playing classroom instruments, for example through music games"
Foundation,Developing Practices,,VC2AMUFD01,"Use play, imagination, music knowledge and processes to discover possibilities and develop ideas",,"Singing and playing music to explore the expressive possibilities of their voices and instruments, including experimenting with speaking and singing voices to recognise the differences, and attempting to match them in pitch and quality"
Foundation,Developing Practices,,VC2AMUFD01,"Use play, imagination, music knowledge and processes to discover possibilities and develop ideas",,"Improvising patterns and soundscapes and documenting them; for example, using graphic notation to represent different qualities of sounds in music they are improvising, such as high/low or long/short"
Foundation,Developing Practices,,VC2AMUFD01,"Use play, imagination, music knowledge and processes to discover possibilities and develop ideas",,Improvising movement to represent rhythmic patterns in songs they are learning
Foundation,Developing Practices,,VC2AMUFD01,"Use play, imagination, music knowledge and processes to discover possibilities and develop ideas",,"Creating long, short, loud and soft sounds with their voices or instruments"
Foundation,Creating,,VC2AMUFC01,Create music that communicates ideas and explores meaning,,"Creating music in a range of forms to communicate ideas from lived personal or social experiences; for example, composing a song or chant about a favourite food or activity"
Foundation,Creating,,VC2AMUFC01,Create music that communicates ideas and explores meaning,,"Creating music in response to inspiration from sources such as play, imagination, observation, literature and artworks from their cultures and communities"
Foundation,Creating,,VC2AMUFC01,Create music that communicates ideas and explores meaning,,"Extending and varying known songs, chants or rhymes; for example, changing words, interpreting without using voice, adding movements/actions or improvising rhythmic patterns as accompaniment using body percussion"
Foundation,Creating,,VC2AMUFC01,Create music that communicates ideas and explores meaning,,"Devising a chant or rap to learn the steps in a process or that a fictional hero character from an animated series or a text could use to communicate a health or sustainability message, recording the chant or rap using an available digital device and sharing it live or via a school-managed space such as a learning management system"
Foundation,Presenting,,VC2AMUFP01,Share their music with audiences,,"Sharing their music work with their teacher and responding to prompts such as ‘What is going on in your work?’, ‘Tell me the story of what is happening’ and ‘What did you enjoy about rehearsing and performing this work?’"
Foundation,Presenting,,VC2AMUFP01,Share their music with audiences,,"Performing songs, soundscapes, chants or raps using music skills they have learnt and practised, such as listening and aiming to match the starting pitch, staying in time with the group or following the agreed plan; for example, following a graphic score when performing a soundscape"
Foundation,Presenting,,VC2AMUFP01,Share their music with audiences,,"Taking images of class arts events (with permission from the people involved), creating an image sequence to document the occasion and adding sound, for example the teacher imports the images to a software program and students use instruments and voices to create a soundscape to accompany them"
Foundation,Presenting,,VC2AMUFP01,Share their music with audiences,,Experimenting with different dynamics and tempi to make decisions about what best communicates an intended mood or feeling
