SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,SectionCode,StrategyType,StrategyHeader,Strategy,Sequence
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBER,EnhancedStrategies,Strategies that enhanced responses,,1
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBER,EnhancedStrategies,,Using the title as a central component in the text’s creation.,2
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBER,EnhancedStrategies,,Strategically developing ideas throughout the text.,3
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBER,EnhancedStrategies,,Revisiting imagery from the stimulus as a way of creating cohesion through the text.,4
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBER,EnhancedStrategies,,Establishing a voice that strategically connected to the reader to achieve the text’s purpose.,5
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBER,EnhancedStrategies,,Using linguistic strategies to amplify and develop ideas.,6
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLR,LimitedStrategies,Strategies that limited responses,,1
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLR,LimitedStrategies,,"Free writing – some planning is essential, given the limited time available to produce and develop a text.",2
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLR,LimitedStrategies,,Presenting ideas that were unrelated or minimally related to the Framework.,3
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLR,LimitedStrategies,,Contorting previously prepared responses in an attempt to connect with the exam title and stimulus.,4
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLR,LimitedStrategies,,"Writing for self, rather than for the reader.",5
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLR,LimitedStrategies,,Relying solely on plot to convey ideas.,6
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLW,Warning,"Some students appropriated the intellectual or moral status of others, possibly to add a sense of legitimacy to their views.",,1
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLW,Warning,,"For example, a student may have appropriated the voice of a psychologist when writing about mental health issues.",2
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLW,Warning,,"While students are free to adopt a voice within this section, appropriate elaboration of an idea tends to be more compelling than simply claiming expert status.",3
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBLW,Warning,,Students are encouraged to consider the many ways in which a position can be legitimised.,4
